wue_profile,region,wue_l_per_kwh_it,profile_type
factorial_073,east,2.0,full-factorial mechanism sensitivity
factorial_073,north,2.0,full-factorial mechanism sensitivity
factorial_073,northwest,0.36,full-factorial mechanism sensitivity
factorial_073,southwest,1.15,full-factorial mechanism sensitivity
factorial_074,east,2.0,full-factorial mechanism sensitivity
factorial_074,north,2.0,full-factorial mechanism sensitivity
factorial_074,northwest,0.36,full-factorial mechanism sensitivity
factorial_074,southwest,2.0,full-factorial mechanism sensitivity
factorial_075,east,2.0,full-factorial mechanism sensitivity
factorial_075,north,2.0,full-factorial mechanism sensitivity
factorial_075,northwest,1.15,full-factorial mechanism sensitivity
factorial_075,southwest,0.36,full-factorial mechanism sensitivity
factorial_076,east,2.0,full-factorial mechanism sensitivity
factorial_076,north,2.0,full-factorial mechanism sensitivity
factorial_076,northwest,1.15,full-factorial mechanism sensitivity
factorial_076,southwest,1.15,full-factorial mechanism sensitivity
factorial_077,east,2.0,full-factorial mechanism sensitivity
factorial_077,north,2.0,full-factorial mechanism sensitivity
factorial_077,northwest,1.15,full-factorial mechanism sensitivity
factorial_077,southwest,2.0,full-factorial mechanism sensitivity
factorial_078,east,2.0,full-factorial mechanism sensitivity
factorial_078,north,2.0,full-factorial mechanism sensitivity
factorial_078,northwest,2.0,full-factorial mechanism sensitivity
factorial_078,southwest,0.36,full-factorial mechanism sensitivity
factorial_079,east,2.0,full-factorial mechanism sensitivity
factorial_079,north,2.0,full-factorial mechanism sensitivity
factorial_079,northwest,2.0,full-factorial mechanism sensitivity
factorial_079,southwest,1.15,full-factorial mechanism sensitivity
factorial_080,east,2.0,full-factorial mechanism sensitivity
factorial_080,north,2.0,full-factorial mechanism sensitivity
factorial_080,northwest,2.0,full-factorial mechanism sensitivity
factorial_080,southwest,2.0,full-factorial mechanism sensitivity
